 # Jupiter model, Ptrans=7 Mbar, rock core 
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9999724104   0.021241   0.99530   840.4  0.0068507 
 0.9999716364   0.021837   0.99525   847.3  0.0069797 
 0.9999708480   0.022445   0.99520   854.2  0.0071099 
 0.9999700450   0.023064   0.99515   861.1  0.0072414 
 0.9999692273   0.023695   0.99510   868.0  0.0073742 
 0.9999683947   0.024337   0.99505   874.9  0.0075082 
 0.9999675472   0.024991   0.99500   881.8  0.0076429 
 0.9999666847   0.025656   0.99495   888.7  0.0077787 
 0.9999658070   0.026334   0.99490   895.6  0.0079157 
 0.9999649139   0.027023   0.99485   902.5  0.0080539 
 0.9999640055   0.027725   0.99480   909.4  0.0081934 
 0.9999630815   0.028438   0.99475   916.3  0.0083341 
 0.9999621417   0.029164   0.99470   923.2  0.0084759 
 0.9999611862   0.029902   0.99465   930.0  0.0086183 
 0.9999602148   0.030653   0.99460   936.9  0.0087619 
 0.9999592274   0.031416   0.99455   943.8  0.0089068 
 0.9999582238   0.032192   0.99450   950.6  0.0090528 
 0.9999572038   0.032981   0.99445   957.3  0.0092018 
 0.9999561672   0.033783   0.99440   964.0  0.0093522 
 0.9999551138   0.034598   0.99435   970.6  0.0095037 
 0.9999540436   0.035426   0.99430   977.2  0.0096559 
 0.9999529565   0.036267   0.99425   983.9  0.0098093 
 0.9999518522   0.037122   0.99420   990.5  0.0099640 
 0.9999507307   0.037990   0.99415   997.1  0.0101199 
 0.9999495918   0.038872   0.99410  1003.7  0.0102777 
 0.9999484353   0.039768   0.99405  1010.1  0.0104371 
 0.9999472610   0.040678   0.99400  1016.6  0.0105978 
 0.9999460689   0.041602   0.99395  1023.0  0.0107598 
 0.9999448587   0.042540   0.99390  1029.5  0.0109231 
 0.9999436303   0.043492   0.99385  1035.9  0.0110877 
 0.9999423836   0.044458   0.99380  1042.3  0.0112533 
 0.9999411187   0.045439   0.99375  1048.7  0.0114176 
 0.9999398354   0.046435   0.99370  1055.0  0.0115832 
 0.9999385338   0.047445   0.99365  1061.3  0.0117499 
 0.9999372136   0.048469   0.99360  1067.6  0.0119179 
 0.9999358748   0.049509   0.99355  1073.9  0.0120870 
 0.9999345171   0.050563   0.99350  1080.2  0.0122574 
 0.9999331405   0.051632   0.99345  1086.5  0.0124289 
 0.9999317449   0.052715   0.99340  1092.8  0.0126017 
 0.9999303302   0.053815   0.99335  1099.0  0.0127740 
 0.9999288963   0.054929   0.99330  1105.2  0.0129474 
 0.9999274432   0.056058   0.99325  1111.5  0.0131220 
 0.9999259707   0.057203   0.99320  1117.7  0.0132977 
 0.9999244787   0.058363   0.99315  1123.9  0.0134745 
 0.9999229671   0.059538   0.99310  1130.1  0.0136524 
 0.9999214358   0.060729   0.99305  1136.3  0.0138314 
 0.9999198846   0.061936   0.99300  1142.5  0.0140115 
 0.9999183134   0.063159   0.99295  1148.8  0.0141927 
