 # Jupiter model, Ptrans=2 Mbar, diluted core
 # m/Mp         P (GPa)    r/Rmean   T(K)   rho(g/ccm)
 0.9919105138   6.922033   0.95700  3661.4  0.2007068 
 0.9914899764   7.301333   0.95600  3707.0  0.2060874 
 0.9910592084   7.691382   0.95500  3751.9  0.2114755 
 0.9906182401   8.092226   0.95400  3796.3  0.2168711 
 0.9901670778   8.503936   0.95300  3836.6  0.2223297 
 0.9897055467   8.926748   0.95200  3871.4  0.2278769 
 0.9892336202   9.360763   0.95100  3905.7  0.2334381 
 0.9887513164   9.806041   0.95000  3939.6  0.2390133 
 0.9882586536  10.262644   0.94900  3973.1  0.2446024 
 0.9877555704  10.730706   0.94800  3995.1  0.2503155 
 0.9872418604  11.210499   0.94700  4010.1  0.2560931 
 0.9867175158  11.702109   0.94600  4024.9  0.2618916 
 0.9861825429  12.205611   0.94500  4039.4  0.2677108 
 0.9856369486  12.721079   0.94400  4053.8  0.2735505 
 0.9850807350  13.248590   0.94300  4067.9  0.2794233 
 0.9845138638  13.788263   0.94200  4081.9  0.2853351 
 0.9839363307  14.340182   0.94100  4095.7  0.2912683 
 0.9833481422  14.904423   0.94000  4109.2  0.2972227 
 0.9827493053  15.481059   0.93900  4122.6  0.3031981 
 0.9821398277  16.070166   0.93800  4135.9  0.3091944 
 0.9815196685  16.671864   0.93700  4149.3  0.3152785 
 0.9808887089  17.286353   0.93600  4162.7  0.3214099 
 0.9802469455  17.913717   0.93500  4176.0  0.3275655 
 0.9795943812  18.554038   0.93400  4189.1  0.3337451 
 0.9789310195  19.207395   0.93300  4202.0  0.3399485 
 0.9782568646  19.873869   0.93200  4214.8  0.3461755 
 0.9775718609  20.553599   0.93100  4224.0  0.3525289 
 0.9768757607  21.246915   0.93000  4230.8  0.3589798 
 0.9761685313  21.953936   0.92900  4237.5  0.3654606 
 0.9754501671  22.674755   0.92800  4244.1  0.3719712 
 0.9747206634  23.409462   0.92700  4250.7  0.3785114 
 0.9739800159  24.158150   0.92600  4257.1  0.3850809 
 0.9732282209  24.920909   0.92500  4263.5  0.3916828 
 0.9724652265  25.697880   0.92400  4269.8  0.3983559 
 0.9716909906  26.489193   0.92300  4276.0  0.4050597 
 0.9709055087  27.294940   0.92200  4282.1  0.4117937 
 0.9701087769  28.115215   0.92100  4288.2  0.4185580 
 0.9693007918  28.950109   0.92000  4294.2  0.4253523 
 0.9684815509  29.799713   0.91900  4300.1  0.4321764 
 0.9676510520  30.664119   0.91800  4306.0  0.4390283 
 0.9668094682  31.543235   0.91700  4315.8  0.4457309 
 0.9659569724  32.436967   0.91600  4325.5  0.4524567 
 0.9650935747  33.345391   0.91500  4335.0  0.4592055 
 0.9642192852  34.268584   0.91400  4344.5  0.4659772 
 0.9633341148  35.206621   0.91300  4354.0  0.4727716 
 0.9624380747  36.159577   0.91200  4363.3  0.4795886 
 0.9615311767  37.127527   0.91100  4372.6  0.4864281 
 0.9606134373  38.110540   0.91000  4382.2  0.4932468 
 0.9596853024  39.108224   0.90900  4395.8  0.4997418 
 0.9587470824  40.120327   0.90800  4409.2  0.5062475 
 0.9577988084  41.146899   0.90700  4422.5  0.5127640 
 0.9568405115  42.187988   0.90600  4435.7  0.5192912 
 0.9558722233  43.243642   0.90500  4448.8  0.5258289 
 0.9548939752  44.313909   0.90400  4461.8  0.5323772 
 0.9539058482  45.398781   0.90300  4476.9  0.5388492 
 0.9529080671  46.498092   0.90200  4493.2  0.5452749 
 0.9519006880  47.611861   0.90100  4509.4  0.5517073 
 0.9508841301  48.739702   0.90000  4529.2  0.5576601 
 0.9498590830  49.880924   0.89900  4549.4  0.5635285 
 0.9488256122  51.035529   0.89800  4569.5  0.5693914 
 0.9477837729  52.203526   0.89700  4589.4  0.5752488 
 0.9467336198  53.384926   0.89600  4609.3  0.5811009 
 0.9456752075  54.579740   0.89500  4629.0  0.5869477 
 0.9446085899  55.787980   0.89400  4648.5  0.5927894 
 0.9435338210  57.009654   0.89300  4668.0  0.5986259 
 0.9424509543  58.244775   0.89200  4687.3  0.6044575 
 0.9413600430  59.493353   0.89100  4706.5  0.6102842 
 0.9402611400  60.755397   0.89000  4725.5  0.6161060 
 0.9391543438  62.030867   0.88900  4746.3  0.6217650 
 0.9380403369  63.319041   0.88800  4770.9  0.6270833 
 0.9369193804  64.619685   0.88700  4795.2  0.6323892 
 0.9357915361  65.932790   0.88600  4819.5  0.6376829 
 0.9346568649  67.258350   0.88500  4843.6  0.6429645 
 0.9335154276  68.596359   0.88400  4867.6  0.6482343 
 0.9323672841  69.946809   0.88300  4891.5  0.6534924 
 0.9312124939  71.309693   0.88200  4915.2  0.6587389 
 0.9300511161  72.685006   0.88100  4938.8  0.6639741 
 0.9288832092  74.072741   0.88000  4962.3  0.6691981 
 0.9277088311  75.472893   0.87900  4985.7  0.6744111 
 0.9265280395  76.885454   0.87800  5008.9  0.6796132 
 0.9253413133  78.309912   0.87700  5045.7  0.6842476 
 0.9241493915  79.745437   0.87600  5084.3  0.6887832 
 0.9229523463  81.191997   0.87500  5122.7  0.6933014 
 0.9217502322  82.649581   0.87400  5160.4  0.6978219 
 0.9205430575  84.118232   0.87300  5197.2  0.7023479 
 0.9193308728  85.597944   0.87200  5233.8  0.7068577 
 0.9181137380  87.088698   0.87100  5270.3  0.7113515 
 0.9168917128  88.590474   0.87000  5306.8  0.7158296 
 0.9156648556  90.103255   0.86900  5343.1  0.7202922 
 0.9144332249  91.627022   0.86800  5379.3  0.7247394 
 0.9131968780  93.161757   0.86700  5415.4  0.7291717 
 0.9119558717  94.707443   0.86600  5451.5  0.7335891 
 0.9107102626  96.264062   0.86500  5487.4  0.7379918 
 0.9094601062  97.831599   0.86400  5523.2  0.7423802 
 0.9082054577  99.410035   0.86300  5559.0  0.7467543 
 0.9069463717  100.999355   0.86200  5594.6  0.7511143 
 0.9056829017  102.599543   0.86100  5630.5  0.7554640 
 0.9044150814  104.210609   0.86000  5667.8  0.7598146 
 0.9031429539  105.832550   0.85900  5705.0  0.7641520 
 0.9018665715  107.465351   0.85800  5742.1  0.7684761 
 0.9005859860  109.108997   0.85700  5779.2  0.7727873 
 0.8993012488  110.763474   0.85600  5816.2  0.7770857 
 0.8980124070  112.428772   0.85500  5852.3  0.7813966 
 0.8967193638  114.105069   0.85400  5884.7  0.7858075 
 0.8954220930  115.792450   0.85300  5917.1  0.7902072 
 0.8941206432  117.490905   0.85200  5949.4  0.7945958 
 0.8928150629  119.200422   0.85100  5981.6  0.7989735 
 0.8915054000  120.920991   0.85000  6013.7  0.8033404 
 0.8901917018  122.652601   0.84900  6045.7  0.8076966 
 0.8888740156  124.395242   0.84800  6077.7  0.8120422 
 0.8875523881  126.148903   0.84700  6109.6  0.8163774 
 0.8862268657  127.913574   0.84600  6141.4  0.8207023 
 0.8848974944  129.689246   0.84500  6173.1  0.8250170 
 0.8835643199  131.475908   0.84400  6204.7  0.8293216 
 0.8822273873  133.273551   0.84300  6236.3  0.8336163 
 0.8808867417  135.082165   0.84200  6267.8  0.8379011 
 0.8795424276  136.901741   0.84100  6299.2  0.8421761 
 0.8781944812  138.732280   0.84000  6331.7  0.8464568 
 0.8768429197  140.573810   0.83900  6364.7  0.8507358 
 0.8754877847  142.426324   0.83800  6397.6  0.8550055 
 0.8741291192  144.289814   0.83700  6430.5  0.8592661 
 0.8727669662  146.164272   0.83600  6463.3  0.8635176 
 0.8714013682  148.049688   0.83500  6496.0  0.8677601 
 0.8700323673  149.946056   0.83400  6528.7  0.8719937 
 0.8686600045  151.853368   0.83300  6560.9  0.8762332 
 0.8672841751  153.771819   0.83200  6588.8  0.8806097 
 0.8659048165  155.701550   0.83100  6616.7  0.8849789 
 0.8645219689  157.642555   0.83000  6644.6  0.8893408 
 0.8631356725  159.594827   0.82900  6672.4  0.8936955 
 0.8617459669  161.558364   0.82800  6700.1  0.8980430 
 0.8603528918  163.533160   0.82700  6727.7  0.9023834 
 0.8589564866  165.519209   0.82600  6755.3  0.9067167 
 0.8575567903  167.516507   0.82500  6782.8  0.9110431 
 0.8561538418  169.525050   0.82400  6810.3  0.9153626 
 0.8547476796  171.544832   0.82300  6837.7  0.9196753 
 0.8533383424  173.575849   0.82200  6865.0  0.9239811 
 0.8519258680  175.618097   0.82100  6892.3  0.9282803 
 0.8505102946  177.671570   0.82000  6919.5  0.9325727 
 0.8490916599  179.736265   0.81900  6946.6  0.9368586 
 0.8476700014  181.812176   0.81800  6973.7  0.9411379 
 0.8462453563  183.899299   0.81700  7000.7  0.9454107 
 0.8448177618  185.997630   0.81600  7027.7  0.9496771 
 0.8433872547  188.107164   0.81500  7054.6  0.9539371 
 0.8419538715  190.227898   0.81400  7081.6  0.9581927 
 0.8405176266  192.359859   0.81300  7110.0  0.9624662 
 0.8390785395  194.503070   0.81200  7138.4  0.9667337 
 0.8376366460  196.657525   0.81100  7166.8  0.9709952 
 0.8361919819  198.823221   0.81000  7195.1  0.9752507 
 0.8354203742  199.982854   0.80947  7210.2  0.9775179   
 0.8354081370  200.001263   0.80946  7210.4  1.0628615   
 0.8354081359  200.001263   0.80946  7210.4  1.0628615 
 0.8333065319  203.169398   0.80812  7250.5  1.0695730 
 0.8301424360  207.964139   0.80612  7309.5  1.0796561 
 0.8269640737  212.810658   0.80412  7363.5  1.0899658 
 0.8237714674  217.709341   0.80212  7417.2  1.1002473 
 0.8205649580  222.660083   0.80012  7470.7  1.1105008 
 0.8173448830  227.662778   0.79812  7523.9  1.1207268 
 0.8141115765  232.717321   0.79612  7576.8  1.1309255 
 0.8108653696  237.823604   0.79412  7629.5  1.1410973 
 0.8076065899  242.981518   0.79212  7682.0  1.1512426 
 0.8043355622  248.190955   0.79012  7734.2  1.1613616 
 0.8010526080  253.451802   0.78812  7786.2  1.1714546 
 0.7977580459  258.763949   0.78612  7838.0  1.1815219 
 0.7944521915  264.127282   0.78412  7889.5  1.1915638 
 0.7911353573  269.541688   0.78212  7940.8  1.2015805 
 0.7878083418  275.006249   0.78012  8005.5  1.2112499 
 0.7844713742  280.520973   0.77812  8064.0  1.2212063 
 0.7811243725  286.086377   0.77612  8122.4  1.2311383 
 0.7777676377  291.702344   0.77412  8180.6  1.2410460 
 0.7744014684  297.368754   0.77212  8238.5  1.2509298 
 0.7710261602  303.085486   0.77012  8296.3  1.2607898 
 0.7676420063  308.852418   0.76812  8353.9  1.2706263 
 0.7642492972  314.669428   0.76612  8411.4  1.2804395 
 0.7608483206  320.536392   0.76412  8468.6  1.2902295 
 0.7574393620  326.453185   0.76212  8525.7  1.2999966 
 0.7540227040  332.419681   0.76012  8582.5  1.3097409 
 0.7505986271  338.435753   0.75812  8639.2  1.3194627 
 0.7471674090  344.501271   0.75612  8695.7  1.3291621 
 0.7437293251  350.616108   0.75412  8752.1  1.3388393 
 0.7402846485  356.780131   0.75212  8808.3  1.3484945 
 0.7368336468  362.993216   0.75012  8863.8  1.3581547 
 0.7333761260  369.256066   0.74812  8915.0  1.3680813 
 0.7299120635  375.569078   0.74612  8972.9  1.3779570 
 0.7264417623  381.932054   0.74412  9030.7  1.3878146 
 0.7229654830  388.344870   0.74212  9088.3  1.3976543 
 0.7194834846  394.807397   0.74012  9145.8  1.4074760 
